,tsp_file,tsplib-tsp_20_tsp20_dcd_global-greedy-t1-0-59,tsplib-tsp_50_tsp50_dcd_global-greedy-t1-0-59,tsplib-tsp_100_tsp100_dcd_local-greedy-t1-0-59,tsplib-tsp_100_tsp100_dcd_global-greedy-t1-0-59,tsplib-tsp_50_tsp50_dcd_local-greedy-t1-0-59,tsplib-tsp_50_tsp50_dcd_random-greedy-t1-0-59,tsplib-tsp_20_tsp20_dcd_local-greedy-t1-0-59,tsplib-tsp_20_tsp20_default-greedy-t1-0-59,tsplib-tsp_100_tsp100_default-greedy-t1-0-59,tsplib-tsp_50_tsp50_default-greedy-t1-0-59,tsplib-tsp_20_tsp20_dcd_random-greedy-t1-0-59,tsplib-tsp_100_tsp100_dcd_random-greedy-t1-0-59
10,eil51.npy,513.8244020922966,491.1320412978167,521.0841697578558,510.7630542815187,494.19882576434185,504.82274194005544,516.4992367199006,490.9236461730995,492.3928047692609,493.7834772799674,500.3299316820812,496.4432334479854
11,eil76.npy,685.0120480677608,644.9364837003607,659.5197257721829,670.6698278298645,700.9344108595617,644.2855400032512,694.5298524930879,714.2507961280038,673.4820808201712,681.0339088006097,680.5705528516029,688.3478414095905
12,fl1400.npy,43266.777792423396,49485.87507287616,51040.23004846658,126519.94095719143,39112.15078711547,35376.827267799126,43785.19534408905,36826.22043758152,38830.82832030237,37431.08964569257,44612.65570264143,106630.31995614618
13,fl417.npy,18542.169082121978,89467.13241313859,22202.325798494305,18263.770113006984,17574.76305501559,19421.00235895361,17909.01444065393,17702.07550114843,16771.776945357266,18294.73324167136,17155.775928629933,27161.8507540542
14,gil262.npy,3940.5305640777365,3455.3675096205156,3618.0786881420026,3692.8634376904715,3758.7969674987066,3672.371187847228,4014.444188929911,3698.718299003294,3846.4587420608873,3794.916766241451,3672.53539120613,3863.279235420262
15,kroA100.npy,29203.179909066417,27798.238415367534,29166.66376803181,29739.085025923985,29736.483682220525,28550.522239705857,29173.526360468553,28009.17376690826,34599.502847085816,29811.85186475815,27055.052215505046,29317.502771157942
16,kroA150.npy,38387.27411106233,35187.63180333823,37338.82772719018,39025.862164520026,36136.577829610644,36253.021263543524,39321.92317405384,36864.50473275843,39442.72980259609,39373.52599348113,39597.531031060884,40394.972625458184
17,kroA200.npy,46000.959203933315,41825.44126178536,48160.66023928281,48044.20647899642,43832.06155286717,44522.69625683308,47479.76134155037,45436.09638369254,48574.94841202426,47852.04201649116,47014.12476487163,53683.76337052597
18,kroB100.npy,28800.302160353378,32432.82144313835,30037.17804683928,29170.04422008933,29103.043806690603,30703.373736275473,31976.25724105358,30384.188221165045,36265.32675209931,34523.86165806865,29268.143218720994,29720.711523574533
19,kroB150.npy,36674.433302278456,35166.17264273465,35946.563158578516,37310.678546062554,36706.43383480995,38575.39587386924,36490.86158005555,38633.428714824964,45675.32187056461,36361.0002576925,39579.6996897956,36802.88395348887
